ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
886|Motoko-chan no Wonder Kitchen|Ajinomoto||1993||"Motoko-chan no Wonder Kitchen is a simulation game where players manage a kitchen to create various dishes. The game was released in 1993."
887|Motteke Oh! Dorobou|Data East||1995||"Motteke Oh! Dorobou is a game released in 1995 by Data East. The game features a thief character navigating through various challenges and puzzles."
888|Mountain Bike Rally|Life Fitness Entertainment|1995|||
889|Mr. Do!|Black Pearl Software|1996|1995||
890|Mr. Nutz|Ocean Software|1994|1994||
891|Ms. Pac-Man|Williams Entertainment|1996|||
892|Mujintou Monogatari|KSS||1996||"Mujintou Monogatari is a game developed by Open Sesame. It was released in 1996 and features a unique storyline set on a deserted island."
893|Multi Play Volleyball|Pack-In-Video|1994|||
894|Musya•Gousou Jinrai Densetsu MusyaJP|SETA|1992|1992||
895|Mystery Circle|K Amusement Leasing|1992|||
896|Mystic Ark|Enix|1995|||
897|Nage Libre: Seijaku no Suishin|Varie|1995|||
898|Nakajima Satoru F-1 Hero '94|Varie|1994|||
899|Nakano Koichi Kanshuu: Keirin-Ou|Coconuts Japan|1994|||
900|Naki no Ryū: Mahjong Hishō-den|IGS|Unreleased|1992| |"A mahjong game released in Japan in December 1992."
901|Namco Open|Namco|Unreleased|1993| |"A sports game developed by Tose and published by Namco in Japan in January 1993."
902|Nankoku Shōnen Papuwa-kun|Enix|Unreleased|1994| |"An action-adventure game developed by Daft and published by Enix in Japan in March 1994."
903|Naruhodo! The World|Tomy|Unreleased|1994| |"A puzzle game published by Tomy in Japan in November 1994."
904|Natsuki Crisis Battle|Angle|Unreleased|1995| |"A side-scrolling action game developed by Tose and published by Angle in Japan in April 1995."
905|Natsume Championship Wrestling|Natsume|1994| | |"A wrestling game released in North America in June 1994."
906|NBA All-Star Challenge|LJN|1992|1993| |"A basketball game developed by Beam Software and published by LJN, released in Japan in May 1993 and North America in December 1992."
907|NBA Give 'n Go•NBA Jikkyou Basket: Winning DunkJP|Konami|1995|1995| |"A basketball game developed and published by Konami, released in Japan in September 1995 and North America in November 1995."
908|NBA Hangtime|Midway Games|1996| | |"A basketball game released in North America in November 1996."
909|NBA Jam|Acclaim Entertainment|1994|1994| |"A basketball arcade game developed by Iguana Entertainment and published by Acclaim Entertainment, released in Japan in April 1994 and North America in March 1994."
910|NBA Jam Tournament Edition †|Acclaim Entertainment|1995|1995| |"A basketball arcade game developed by Iguana Entertainment and published by Acclaim Entertainment, released in Japan in February 1995 and North America in February 1995."
911|NBA Live 95|EA Sports|1994|1994| |"A basketball video game developed by Electronic Arts and published by EA Sports, released in Japan in December 1994 and North America in October 1994."
912|NBA Live 96|EA Sports|1995| | |"A basketball video game released in North America in October 1995 and PAL region in November 1995."
913|NBA Live 97|EA Sports|1996| | |"A basketball video game released in North America in December 1996 and PAL region in 1996."
914|NBA Live 98|THQ|1997| | |"A basketball video game released in North America in November 1997."
915|NBA Showdown•NBA Pro Basketball '94: Bulls vs SunsJP|EA Sports|1993|1993| |"A basketball video game developed by Electronic Arts and published by EA Sports, released in Japan in December 1993 and North America in October 1993."
916|NCAA Basketball•World League BasketballEU•Super Dunk ShotJP|HAL Laboratory  and  Nintendo|1992|1992| |"A basketball video game developed by Sculptured Software and published by HAL Laboratory  and  Nintendo, released in Japan in June 1992 and North America in October 1992."
917|NCAA Final Four Basketball|Mindscape|1995| | |"A basketball video game released in North America in February 1995."
918|NCAA Football|Mindscape|1994| | |"A football video game released in North America in October 1994."
919|Nekketsu Tairiku Burning Heroes|Enix|Unreleased|1995| |"An action role-playing game developed by J-Force and published by Enix in Japan in March 1995."
920|Neugier: Umi to Kaze no Kodō|Telenet Japan|Cancelled|1993|Unreleased|"Neugier: Umi to Kaze no Kodō is an action-adventure game released in Japan in 1993. The game follows the story of a young explorer on a quest to uncover the mysteries of the sea and the wind."
921|New Yatterman: Nandai Kandai Yajirobee|Yutaka|Unreleased|1996|Unreleased|"New Yatterman: Nandai Kandai Yajirobee is a game based on the popular anime series. Players take on the role of the heroic Yatterman duo as they battle evil forces in a whimsical world."
922|New Mobile Report Gundam Wing: Endless Duel|Bandai|Unreleased|1996|Unreleased|"New Mobile Report Gundam Wing: Endless Duel is a fighting game featuring iconic mechs from the Gundam Wing series. Players can engage in intense battles in this fast-paced game."
923|Newman and Haas IndyCar featuring Nigel Mansell•Nigel Mansell Indy CarJP|Acclaim Entertainment|1994|1994|Unreleased|"Newman and Haas IndyCar featuring Nigel Mansell is a racing game that puts players behind the wheel of high-speed IndyCars. Experience the thrill of racing against top competitors in this adrenaline-pumping game."
924|NFL Football|Konami|1993|1993|1993|"NFL Football is a sports simulation game that allows players to take control of their favorite NFL teams. Experience the excitement of American football in this classic title."
925|NFL Quarterback Club|LJN|1994|1995|1994|"NFL Quarterback Club puts players in the shoes of a quarterback, leading their team to victory. Test your skills on the gridiron in this challenging football game."
926|NFL Quarterback Club 96|Acclaim Entertainment|1995|1996|1995|"NFL Quarterback Club 96 is the next installment in the popular football series. Take on the role of a quarterback and lead your team to glory in this immersive sports game."
927|NHL '94•NHL Pro Hockey '94JP|EA Sports|1993|1994|1993|"NHL '94 is a classic hockey game that captures the excitement of the NHL. Lace up your skates, hit the ice, and compete for the Stanley Cup in this thrilling sports title."
928|NHL 95|EA Sports|1994|Unreleased|1994|"NHL 95 is a hockey simulation game that offers realistic gameplay and fast-paced action. Take control of your favorite NHL team and compete for the championship in this exciting sports title."
929|NHL 96|EA Sports|1995|Unreleased|1995|"NHL 96 is a hockey game that delivers authentic NHL action on the virtual ice. Experience the intensity of professional hockey as you compete against top teams in this thrilling sports title."
930|NHL 97|EA Sports|1996|Unreleased|1996|"NHL 97 is a hockey simulation game that brings the excitement of the NHL to your screen. Take on the role of a professional hockey player and compete for the Stanley Cup in this immersive sports title."
931|NHL 98|EA Sports|1997|Unreleased|1997|"NHL 98 is a hockey game that offers realistic gameplay and fast-paced action. Lace up your skates, hit the ice, and compete against top teams in this thrilling sports title."
932|NHL Stanley Cup•Super HockeyEU|Nintendo|1993|Unreleased|1993|"NHL Stanley Cup is a hockey game that captures the excitement of the NHL. Take on the challenge of professional hockey and compete for the championship in this classic sports title."
933|NHLPA Hockey '93|EA Sports|1992|Unreleased|1993|"NHLPA Hockey '93 is a hockey simulation game that lets players experience the thrill of the NHL. Take control of your favorite team and compete for hockey glory in this exciting title."
934|Nice de Shot|ASK|Unreleased|1994|Unreleased|"Nice de Shot is a sports game that challenges players to test their shooting skills. Take aim, perfect your shot, and aim for the high score in this fun and engaging title."
935|Nichibutsu Arcade Classics|Nichibutsu|Unreleased|1995|Unreleased|"Nichibutsu Arcade Classics is a collection of classic arcade games from the renowned developer. Enjoy a variety of retro gaming experiences in this nostalgic compilation."
936|Nichibutsu Arcade Classics 2: Heiankyo Alien|Nichibutsu|Unreleased|1995|Unreleased|"Nichibutsu Arcade Classics 2: Heiankyo Alien features the classic game Heiankyo Alien and other arcade gems. Dive into retro gaming with this collection of timeless titles."
937|Nichibutsu Collection 1|Nichibutsu|Unreleased|1996|Unreleased|"Nichibutsu Collection 1 is a compilation of games from the developer Nichibutsu. Enjoy a variety of gaming experiences in this collection of classic titles."
938|Nichibutsu Collection 2|Nichibutsu|Unreleased|1996|Unreleased|"Nichibutsu Collection 2 features a selection of games from the developer Nichibutsu. Dive into retro gaming with this compilation of classic titles."
939|Nickelodeon Guts|Viacom New Media|1994|Unreleased|1994|"Nickelodeon Guts is a game based on the popular TV show. Compete in extreme sports challenges and prove you have what it takes to be a Guts champion in this exciting title."
940|Nigel Mansell's World Championship Racing|GameTek|1993|1993|Racing|"Nigel Mansell's World Championship Racing is a Formula One racing video game featuring the 1992 Formula One World Champion, Nigel Mansell. Players can race in various modes and compete in the World Championship."
941|Ninja Gaiden Trilogy|Tecmo|1995|1995|Action|"Ninja Gaiden Trilogy is a collection of three Ninja Gaiden games for the Super Nintendo Entertainment System. Players control Ryu Hayabusa as he battles through challenging levels and enemies."
942|Ninja Warriors|Taito|1994|1994|Action|"Ninja Warriors, also known as The Ninja Warriors Again in Japan, is a side-scrolling beat 'em up game where players control ninja androids fighting against a dystopian regime. The game features cooperative gameplay and multiple characters to choose from."
943|Nintama Rantarou|Culture Brain|Unreleased|1995|Adventure|"Nintama Rantarou is a video game based on the anime and manga series of the same name. Players follow the adventures of young ninja students as they train and go on missions."
944|Nintama Rantarou: Ninjutsu Gakuen Puzzle Taikai no Dan|Culture Brain|Unreleased|1996|Puzzle|"Nintama Rantarou: Ninjutsu Gakuen Puzzle Taikai no Dan is a puzzle game based on the Nintama Rantarou series. Players solve puzzles and challenges set in the ninja school setting."
945|Nintama Rantarou 2|Culture Brain|Unreleased|1996|Adventure|"Nintama Rantarou 2 continues the adventures of the young ninja students from the first game. Players engage in various activities and missions within the ninja school."
946|Nintama Rantarou 3|Culture Brain|Unreleased|1997|Adventure|"Nintama Rantarou 3 follows the ninja students on more adventures and challenges. Players can experience the daily life and missions of the young ninjas."
